"ID","Handle","Command","Title","Status","Published","Published At"
"8940205932775","short-sleeve-baby-tee-chocolate","MERGE","SHORT SLEEVE BABY TEE","Active","true","2024-11-24 09:33:03 -0800"
"8940206031079","short-sleeve-baby-tee-oat","MERGE","Short Sleeve Baby Tee","Draft","false",""
"8940206129383","short-sleeve-baby-tee-olive","MERGE","Short Sleeve Baby Tee","Draft","false",""
"8940206457063","short-sleeve-baby-tee-sand","MERGE","Short Sleeve Baby Tee","Draft","false",""
"8940206653671","short-sleeve-boyfriend-t-shirt-chocolate","MERGE","Short Sleeve Boyfriend T-Shirt","Draft","false",""
"8940206751975","short-sleeve-boyfriend-t-shirt-oat","MERGE","Short Sleeve Boyfriend T-Shirt Oat","Draft","false",""
"8940206850279","short-sleeve-boyfriend-t-shirt-olive","MERGE","Short Sleeve Boyfriend T-Shirt Olive","Draft","false",""
"8940206915815","short-sleeve-boyfriend-t-shirt-sand","MERGE","Short Sleeve Boyfriend T-Shirt","Draft","false",""
"8940206981351","long-sleeve-boyfriend-t-shirt-chocolate","MERGE","Long Sleeve Boyfriend T-Shirt","Draft","false",""
"8940207014119","long-sleeve-boyfriend-t-shirt-oat","MERGE","Long Sleeve Boyfriend T-Shirt","Draft","false",""
"8940207046887","long-sleeve-boyfriend-t-shirt-olive","MERGE","Long Sleeve Boyfriend T-Shirt","Draft","false",""
"8940207112423","long-sleeve-boyfriend-t-shirt-sand","MERGE","Long Sleeve Boyfriend T-Shirt","Draft","false",""
"8940207145191","rib-tank-chocolate","MERGE","Rib Tank","Draft","false",""
"8940207177959","rib-tank-oat","MERGE","Rib Tank","Draft","false",""
"8940207243495","rib-tank-olive","MERGE","Rib Tank","Draft","false",""
"8940207309031","rib-tank-sand","MERGE","Rib Tank","Draft","false",""
"8940207407335","rib-tank-earth","MERGE","Rib Tank","Draft","false",""
"8940207505639","cropped-scoop-neck-tank-earth","MERGE","Cropped Scoop Neck Tank","Draft","false",""
"8940207538407","cropped-scoop-neck-tank-chocolate","MERGE","Cropped Scoop Neck Tank","Draft","false",""
"8940207571175","cropped-scoop-neck-tank-oat","MERGE","Cropped Scoop Neck Tank","Draft","false",""
"8940207669479","cropped-scoop-neck-tank-olive","MERGE","Cropped Scoop Neck Tank","Draft","false",""
"8940207800551","cropped-scoop-neck-tank-sand","MERGE","Cropped Scoop Neck Tank","Draft","false",""
"8940201345255","straight-leg-sweatpant-heather-grey","MERGE","STRAIGHT LEG SWEATPANT","Active","true","2022-09-26 19:19:36 -0700"
"8940208095463","long-sleeve-cropped-t-shirt-olive","MERGE","Long Sleeve Cropped T-Shirt","Draft","false",""
"8940208259303","lounge-pant-chocolate","MERGE","LOUNGE PANT","Active","true","2024-11-17 09:29:35 -0800"
"8940208455911","lounge-pant-oat","MERGE","Lounge Pant","Draft","false",""
"8940208521447","lounge-pant-olive","MERGE","Lounge Pant","Draft","false",""
"8940208652519","lounge-pant-sand","MERGE","Lounge Pant","Draft","false",""
"8940208685287","lounge-boxer-short-chocolate","MERGE","Lounge Boxer Short","Draft","false",""
"8940208783591","lounge-boxer-short-oat","MERGE","Lounge Boxer Short","Draft","false",""
"8940208816359","lounge-boxer-short-olive","MERGE","Lounge Boxer Short","Draft","false",""
"8940208881895","lounge-boxer-short-sand","MERGE","Lounge Boxer Short","Draft","false",""
"8940209111271","super-cropped-rib-tank-1","MERGE","Super Cropped Rib Tank","Draft","false",""
"8940209242343","super-cropped-rib-tank-2","MERGE","Super Cropped Rib Tank","Draft","false",""
"8940209340647","super-cropped-rib-tank-3","MERGE","Super Cropped Rib Tank","Draft","false",""
"8940209602791","high-neck-fitted-tank-black","MERGE","HIGH NECK FITTED TANK","Active","true","2023-05-26 12:44:24 -0700"
"8940209733863","high-neck-fitted-tank-chocolate","MERGE","HIGH NECK FITTED TANK","Active","true","2023-10-22 08:06:01 -0700"
"8940209766631","high-neck-fitted-tank-cream","MERGE","HIGH NECK FITTED TANK","Active","true","2023-05-26 12:45:16 -0700"
"8940209864935","high-neck-fitted-tank-heather-grey","MERGE","HIGH NECK FITTED TANK","Active","true","2023-05-26 12:45:54 -0700"
"8940210061543","cropped-rib-tank-oat","MERGE","Cropped Rib Tank","Draft","false",""
"8940210127079","cropped-rib-tank-sand","MERGE","Cropped Rib Tank","Draft","false",""
"8940210225383","amelia-halter-one-piece","MERGE","Amelia Halter One Piece","Archived","false",""
"8940210389223","amelia-halter-one-piece-1","MERGE","Amelia Halter One Piece","Archived","false",""
"8940210454759","amelia-halter-one-piece-2","MERGE","Amelia Halter One Piece","Archived","false",""
"8940210684135","isla-string-bikini-top","MERGE","ISLA BIKINI TOP","Archived","false",""
"8940210749671","isla-string-bikini-top-1","MERGE","ISLA BIKINI TOP","Archived","false",""
"8940210847975","isla-string-bikini-top-2","MERGE","ISLA BIKINI TOP","Archived","false",""
"8940211011815","isla-string-bikini-brief","MERGE","ISLA BIKINI BOTTOM","Archived","false",""
"8940211044583","isla-string-bikini-brief-1","MERGE","ISLA BIKINI BOTTOM","Archived","false",""
"8940211208423","isla-string-bikini-brief-2","MERGE","ISLA BIKINI BOTTOM","Archived","false",""
"8940211339495","jolene-button-down-top","MERGE","Jolene Button Down Top","Archived","false",""
"8940211437799","jolene-button-down-top-1","MERGE","Jolene Button Down Top","Archived","false",""
"8940211536103","jolene-button-down-top-2","MERGE","Jolene Button Down Top","Archived","false",""
"8940211634407","dylan-boxer-short","MERGE","Dylan Boxer Short","Archived","false",""
"8940211765479","dylan-boxer-short-1","MERGE","Dylan Boxer Short","Archived","false",""
"8940211929319","dylan-boxer-short-2","MERGE","Dylan Boxer Short","Archived","false",""
