ID,Handle,Command,Title,Metafield: custom.product_collections [list.single_line_text_field]
8940192825575,lounge-boxer-short-heather-grey,MERGE,Lounge Boxer Short,"[""Shorts"",""Bottoms"",""Lounge""]"
8940192891111,oversized-thermal-ivory,MERGE,Oversized Thermal,"[""T-shirts"",""Lounge"",""Lounge Tops""]"
8940193022183,oversized-thermal-black,MERGE,Oversized Thermal,"[""T-shirts"",""Lounge"",""Lounge Tops""]"
8940192432359,lounge-pant-heather-grey,MERGE,Lounge Pant,"[""Lounge Pants"",""Bottoms"",""Lounge Bottoms"",""Lounge""]"
8940192399591,lounge-pant-black,MERGE,Lounge Pant,"[""Lounge Pants"",""Bottoms"",""Lounge Bottoms"",""Lounge""]"
8940193153255,oversized-thermal-heather-grey,MERGE,Oversized Thermal,"[""T-shirts"",""Lounge"",""Lounge Tops""]"
8940193251559,cropped-oversized-thermal-ivory,MERGE,Cropped Oversized Thermal,
8940193382631,cropped-oversized-thermal-black,MERGE,Cropped Oversized Thermal,
8940193579239,cropped-oversized-thermal-heather-grey,MERGE,Cropped Oversized Thermal,
8940193710311,thermal-biker-short-black,MERGE,Thermal Biker Short,
8940193874151,thermal-romper,MERGE,Thermal Romper,"[""Rompers"",""Lounge""]"
8940193808615,thermal-biker-short-heather-grey,MERGE,Thermal Biker Short,
8940194169063,cropped-v-neck-t-shirt-black,MERGE,Cropped V-Neck T-Shirt,
8940193939687,thermal-lounge-pant-ivory,MERGE,Lounge Pant,"[""Lounge Pants"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940194300135,cropped-v-neck-t-shirt-ivory,MERGE,Cropped V-Neck T-Shirt,[]
8940194037991,thermal-lounge-pant-black,MERGE,Lounge Pant,"[""Lounge Pants"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940194365671,v-neck-t-shirt-ivory,MERGE,V-Neck T-Shirt,"[""T-shirts""]"
8940194103527,thermal-lounge-pant-heather-grey,MERGE,Lounge Pant,"[""Lounge Pants"",""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940194595047,v-neck-t-shirt-black,MERGE,V-Neck T-Shirt Black,"[""T-shirts""]"
8940194693351,long-sleeve-cropped-t-shirt-black,MERGE,Long Sleeve Cropped T-Shirt,
8940194857191,long-sleeve-cropped-t-shirt-heather-grey,MERGE,Long Sleeve Cropped T-Shirt,
8940194988263,long-sleeve-cropped-rib-t-shirt-ivory,MERGE,Long Sleeve Cropped Rib T-Shirt,"[""T-shirts""]"
8940194922727,long-sleeve-cropped-t-shirt-ivory,MERGE,Long Sleeve Cropped T-Shirt,"[""T-shirts""]"
8940195184871,long-sleeve-cropped-rib-t-shirt-black,MERGE,Long Sleeve Cropped Rib T-Shirt,
8940195283175,long-sleeve-cropped-rib-t-shirt-heather-grey,MERGE,Long Sleeve Cropped Rib T-Shirt,
8940195545319,cropped-v-neck-t-shirt-heather-grey,MERGE,Cropped V-Neck T-Shirt,"[""T-shirts""]"
8940195741927,v-neck-t-shirt-heather-grey,MERGE,V-Neck T-Shirt,
8940195381479,short-sleeve-baby-tee-heather-grey,MERGE,Short Sleeve Baby Tee,"[""T-shirts""]"
8940196167911,thermal-drawstring-pant-heather-grey,MERGE,Drawstring Pant,"[""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940196233447,cropped-thermal-henley-black,MERGE,Cropped Thermal Henley,
8940195905767,cropped-long-sleeve-thermal-grey,MERGE,Cropped Long Sleeve Thermal,
8940196036839,thermal-drawstring-pant-black,MERGE,Drawstring Pant,"[""Bottoms"",""Lounge"",""Lounge Bottoms""]"
8940195971303,long-sleeve-thermal-grey,MERGE,Long Sleeve Thermal,"[""T-shirts""]"
8940196298983,cropped-thermal-henley-heather-grey,MERGE,Cropped Thermal Henley,
8940196397287,cropped-scoop-neck-tank-ivory,MERGE,Cropped Scoop Neck Tank,"[""Tanks""]"
8940196757735,cropped-scoop-neck-tank-heather-grey,MERGE,Cropped Scoop Neck Tank,"[""Tanks""]"
8940196561127,cropped-scoop-neck-tank-black,MERGE,Cropped Scoop Neck Tank,"[""Tanks""]"
8940196954343,thermal-henley-black,MERGE,Thermal Henley,[]
8940197118183,thermal-henley-heather-grey,MERGE,Thermal Henley,[]
8940197216487,tank-dress-mini-heather-grey,MERGE,Tank Mini Dress,
8940197380327,tank-dress-mini-cream,MERGE,Tank Mini Dress,"[""Dresses"",""Mini""]"
8940197576935,tank-dress-mini-black,MERGE,Tank Mini Dress,"[""Dresses"",""Mini""]"
8940197675239,long-sleeve-crewneck-dress-mini-black,MERGE,Long Sleeve Crewneck Mini Dress,"[""Dresses"",""Mini""]"
8940197871847,long-sleeve-crewneck-dress-mini-heather-grey,MERGE,Long Sleeve Crewneck Mini Dress,"[""Dresses"",""Mini""]"
8940197839079,long-sleeve-crewneck-dress-mini-cream,MERGE,Long Sleeve Crewneck Mini Dress,"[""Dresses"",""Mini""]"
8940197970151,super-cropped-rib-tank-black,MERGE,Super Cropped Rib Tank,
8940198101223,super-cropped-rib-tank-heather-grey,MERGE,Super Cropped Rib Tank,
8940198199527,super-cropped-rib-tank-ivory,MERGE,Super Cropped Rib Tank,
8940198756583,cropped-long-sleeve-fitted-top-black,MERGE,Cropped Long Sleeve Fitted Top,"[""Tops"",""T-shirts""]"
