"ID","Handle","Command","Title","Status","Published","Published At"
"8819113885917","cropped-fitted-turtleneck-top-cream","MERGE","CROPPED FITTED TURTLENECK TOP","Active","true","2022-09-12 11:21:45 -0700"
"8819113951453","cropped-fitted-turtleneck-top-heather-grey","MERGE","Cropped Fitted Turtleneck Top","Draft","false",""
"9007056388317","isla-bikini-top-black","MERGE","ISLA TOP","Active","true","2025-04-06 09:20:11 -0700"
"9007056421085","isla-bikini-top-ivory","MERGE","ISLA TOP","Active","true","2025-04-06 09:20:11 -0700"
"9007056453853","isla-bikini-bottom-black","MERGE","ISLA BOTTOM","Active","true","2025-04-06 09:20:12 -0700"
"9007056486621","isla-bikini-bottom-ivory","MERGE","ISLA BOTTOM","Active","true","2025-04-06 09:20:12 -0700"
"9007056552157","thea-bikini-top-black","MERGE","THEA TOP","Active","true","2025-04-06 09:20:12 -0700"
"9007056584925","thea-bikini-top-ivory","MERGE","THEA TOP","Active","true","2025-04-06 09:20:12 -0700"
"9007056650461","thea-bikini-bottom-black","MERGE","THEA BOTTOM","Active","true","2025-04-06 09:20:14 -0700"
"9007056683229","thea-bikini-bottom-ivory","MERGE","THEA BOTTOM","Active","true","2025-04-06 09:20:14 -0700"
"9007056748765","kaia-bikini-top-black","MERGE","KAIA TOP","Active","true","2025-04-06 09:20:14 -0700"
"9007056781533","kaia-bikini-top-ivory","MERGE","KAIA TOP","Active","true","2025-04-06 09:20:14 -0700"
"9007056814301","rosie-bikini-top-black","MERGE","ROSIE TOP","Active","true","2025-05-19 15:44:08 -0700"
"9007056847069","rosie-bikini-top-ivory","MERGE","ROSIE TOP","Active","true","2025-05-19 15:44:08 -0700"
"9007056978141","rosie-bikini-bottom-black","MERGE","ROSIE BOTTOM","Active","true","2025-05-19 15:42:37 -0700"
"9007057010909","rosie-bikini-bottom-ivory","MERGE","ROSIE BOTTOM","Active","true","2025-05-19 15:42:38 -0700"
"9007057043677","grace-one-piece-black","MERGE","GRACE ONE PIECE","Active","true","2025-05-18 08:54:20 -0700"
"9007057076445","grace-one-piece-ivory","MERGE","GRACE ONE PIECE","Active","true","2025-05-18 08:54:20 -0700"
"9007057141981","kaia-one-piece-black","MERGE","KAIA ONE PIECE","Active","true","2025-05-18 08:47:19 -0700"
"9007057174749","kaia-one-piece-ivory","MERGE","KAIA ONE PIECE","Active","true","2025-05-18 08:47:19 -0700"
"9007057207517","kaia-bikini-bottom-black","MERGE","KAIA BOTTOM","Active","true","2025-04-06 09:20:15 -0700"
"9007057240285","kaia-bikini-bottom-ivory","MERGE","KAIA BOTTOM","Active","true","2025-04-06 09:20:15 -0700"
"9007057273053","lounge-pant-poppy","MERGE","LOUNGE PANT","Active","true","2025-06-05 19:46:18 -0700"
"9007057305821","tube-maxi-dress-poppy","MERGE","Tube Maxi Dress Poppy","Active","false",""
"9007057338589","lounge-pant-sage","MERGE","LOUNGE PANT","Active","true","2025-06-05 19:46:19 -0700"
"9007057404125","long-sleeve-fitted-top-dusty-pink","MERGE","LONG SLEEVE FITTED TOP","Active","true","2025-05-02 14:24:14 -0700"
"9007057436893","tank-maxi-dress-dusty-pink","MERGE","TANK MAXI DRESS","Active","true","2025-05-02 14:24:15 -0700"
"9007057469661","shrunken-raglan-sweatshirt-dusty-pink","MERGE","SHRUNKEN RAGLAN SWEATSHIRT","Active","true","2025-05-26 08:48:46 -0700"
"9007057502429","high-neck-fitted-tank-dusty-pink","MERGE","HIGH NECK FITTED TANK","Active","true","2025-05-02 14:24:15 -0700"
"9007057535197","mini-track-short-dusty-pink","MERGE","MINI TRACK SHORT","Active","false",""
"9007057567965","90s-tank-dusty-pink","MERGE","90s TANK","Active","true","2025-05-02 14:52:52 -0700"
