"ID","Handle","Command","Title","Status"
"8819111624925","thermal-biker-short-black","MERGE","Thermal Biker Short","Active"
"8819111690461","thermal-biker-short-heather-grey","MERGE","Thermal Biker Short","Active"
"8819111755997","thermal-romper","MERGE","Thermal Romper","Active"
"8819111788765","thermal-lounge-pant-ivory","MERGE","Lounge Pant","Active"
"8819111821533","thermal-lounge-pant-black","MERGE","Lounge Pant","Active"
"8819111887069","cropped-v-neck-t-shirt-black","MERGE","Cropped V-Neck T-Shirt","Active"
"8819111919837","thermal-lounge-pant-heather-grey","MERGE","Lounge Pant","Active"
"8819111952605","v-neck-t-shirt-ivory","MERGE","V-Neck T-Shirt","Active"
"8819111985373","cropped-v-neck-t-shirt-ivory","MERGE","Cropped V-Neck T-Shirt","Active"
"8819112050909","v-neck-t-shirt-black","MERGE","V-Neck T-Shirt Black","Active"
"8819112116445","long-sleeve-cropped-t-shirt-black","MERGE","Long Sleeve Cropped T-Shirt","Active"
"8819112149213","long-sleeve-cropped-t-shirt-ivory","MERGE","Long Sleeve Cropped T-Shirt","Active"
"8819112181981","long-sleeve-cropped-t-shirt-heather-grey","MERGE","Long Sleeve Cropped T-Shirt","Active"
"8819112280285","long-sleeve-cropped-rib-t-shirt-ivory","MERGE","Long Sleeve Cropped Rib T-Shirt","Active"
"8819112313053","long-sleeve-cropped-rib-t-shirt-black","MERGE","Long Sleeve Cropped Rib T-Shirt","Active"
"8819112345821","short-sleeve-baby-tee-heather-grey","MERGE","Short Sleeve Baby Tee","Active"
"8819112411357","long-sleeve-cropped-rib-t-shirt-heather-grey","MERGE","Long Sleeve Cropped Rib T-Shirt","Active"
"8819112444125","cropped-v-neck-t-shirt-heather-grey","MERGE","Cropped V-Neck T-Shirt","Active"
"8819112509661","v-neck-t-shirt-heather-grey","MERGE","V-Neck T-Shirt","Active"
"8819112542429","long-sleeve-thermal-grey","MERGE","Long Sleeve Thermal","Active"
"8819112575197","cropped-long-sleeve-thermal-grey","MERGE","Cropped Long Sleeve Thermal","Active"
"8819112640733","thermal-drawstring-pant-black","MERGE","Drawstring Pant","Active"
"8819112706269","thermal-drawstring-pant-heather-grey","MERGE","Drawstring Pant","Active"
"8819108577501","cropped-long-sleeve-thermal-black","MERGE","Cropped Long Sleeve Thermal","Active"
"8819112771805","cropped-thermal-henley-heather-grey","MERGE","Cropped Thermal Henley","Active"
"8819112837341","cropped-scoop-neck-tank-ivory","MERGE","Cropped Scoop Neck Tank","Active"
"8819112935645","cropped-scoop-neck-tank-black","MERGE","Cropped Scoop Neck Tank","Active"
"8819113001181","cropped-scoop-neck-tank-heather-grey","MERGE","Cropped Scoop Neck Tank","Active"
"8819113033949","thermal-henley-black","MERGE","Thermal Henley","Active"
"8819113066717","tank-dress-mini-heather-grey","MERGE","Tank Mini Dress","Active"
"8819113099485","thermal-henley-heather-grey","MERGE","Thermal Henley","Active"
"8819113165021","tank-dress-mini-black","MERGE","Tank Mini Dress","Active"
"8819113197789","tank-dress-mini-cream","MERGE","Tank Mini Dress","Active"
"8819113296093","long-sleeve-crewneck-dress-mini-cream","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819113328861","long-sleeve-crewneck-dress-mini-black","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819113361629","long-sleeve-crewneck-dress-mini-heather-grey","MERGE","Long Sleeve Crewneck Mini Dress","Active"
"8819113394397","super-cropped-rib-tank-black","MERGE","Super Cropped Rib Tank","Active"
"8819113492701","super-cropped-rib-tank-heather-grey","MERGE","Super Cropped Rib Tank","Active"
"8819113525469","super-cropped-rib-tank-ivory","MERGE","Super Cropped Rib Tank","Active"
"8819113591005","long-sleeve-fitted-top-black","MERGE","Long Sleeve Fitted Top","Active"
"8819113623773","long-sleeve-fitted-top-cream","MERGE","Long Sleeve Fitted Top","Active"
"8819113689309","long-sleeve-fitted-top-heather-grey","MERGE","Long Sleeve Fitted Top","Active"
"8819113722077","cropped-long-sleeve-fitted-top-black","MERGE","Cropped Long Sleeve Fitted Top","Active"
"8819113754845","cropped-long-sleeve-fitted-top-cream","MERGE","Cropped Long Sleeve Fitted Top","Active"
"8819113787613","cropped-long-sleeve-fitted-top-heather-grey","MERGE","Cropped Long Sleeve Fitted Top","Active"
"8819113853149","cropped-fitted-turtleneck-top-black","MERGE","Cropped Fitted Turtleneck Top","Active"
"8819113885917","cropped-fitted-turtleneck-top-cream","MERGE","Cropped Fitted Turtleneck Top","Active"
"8819113951453","cropped-fitted-turtleneck-top-heather-grey","MERGE","Cropped Fitted Turtleneck Top","Active"
"8819113984221","thin-strap-fitted-tank-black","MERGE","Thin Strap Fitted Tank","Active"
"8819114049757","thin-strap-fitted-tank-cream","MERGE","Thin Strap Fitted Tank","Active"
"8819114082525","thin-strap-fitted-tank-heather-grey","MERGE","Thin Strap Fitted Tank","Active"
"8819114148061","cropped-thin-strap-fitted-tank-black","MERGE","Cropped Thin Strap Fitted Tank","Active"
"8819114213597","cropped-thin-strap-fitted-tank-cream","MERGE","Cropped Thin Strap Fitted Tank","Active"
"8819114246365","tank-dress-maxi-black","MERGE","Tank Maxi Dress","Active"
"8819114311901","tank-dress-maxi-cream","MERGE","Tank Maxi Dress","Active"
"8819114344669","cropped-thin-strap-fitted-tank-heather-grey","MERGE","Cropped Thin Strap Fitted Tank","Active"
"8819114377437","tank-dress-maxi-heather-grey","MERGE","Tank Maxi Dress","Active"
"8819114442973","long-sleeve-crewneck-dress-maxi-black","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819114508509","long-sleeve-crewneck-dress-maxi-heather-grey","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819114574045","long-sleeve-crewneck-dress-maxi-cream","MERGE","Long Sleeve Crewneck Maxi Dress","Active"
"8819114639581","long-sleeve-turtleneck-dress-mini-black-black","MERGE","Long Sleeve Turtleneck Mini Dress","Active"
"8819114672349","long-sleeve-turtleneck-dress-mini-heather-grey","MERGE","Long Sleeve Turtleneck Mini Dress","Active"
"8819114737885","long-sleeve-turtleneck-dress-mini-cream","MERGE","Long Sleeve Turtleneck Mini Dress","Active"
"8819114770653","long-sleeve-turtleneck-dress-maxi-black","MERGE","Long Sleeve Turtleneck Maxi Dress","Active"
"8819114803421","long-sleeve-turtleneck-dress-maxi-cream","MERGE","Long Sleeve Turtleneck Maxi Dress","Active"
"8819114868957","long-sleeve-turtleneck-dress-maxi-heather-grey","MERGE","Long Sleeve Turtleneck Maxi Dress","Active"
"8819114901725","classic-sweatpant-black","MERGE","Classic Sweatpant","Active"
"8819114934493","classic-sweatpant-cream","MERGE","Classic Sweatpant","Active"
"8819115000029","classic-sweatpant-heather-brown","MERGE","Classic Sweatpant","Active"
"8819115032797","classic-sweatpant-heather-grey","MERGE","Classic Sweatpant","Active"
"8819115065565","straight-leg-sweatpant-cream","MERGE","Straight Leg Sweatpant","Active"
"8819115131101","straight-leg-sweatpant-black","MERGE","Straight Leg Sweatpant","Active"
"8819115163869","straight-leg-sweatpant-heather-brown","MERGE","Straight Leg Sweatpant","Active"
"8819115229405","straight-leg-sweatpant-heather-grey","MERGE","Straight Leg Sweatpant","Active"
"8819115294941","shrunken-raglan-sweatshirt-black","MERGE","Shrunken Raglan Sweatshirt","Active"
"8819115327709","shrunken-raglan-sweatshirt-cream","MERGE","Shrunken Raglan Sweatshirt","Active"
"8819115426013","shrunken-raglan-sweatshirt-heather-grey","MERGE","Shrunken Raglan Sweatshirt","Active"
"8819115491549","oversized-crewneck-sweatshirt-cream","MERGE","Oversized Crewneck Sweatshirt","Active"
"8819115557085","oversized-crewneck-sweatshirt-black","MERGE","Oversized Crewneck Sweatshirt","Active"
"8819115655389","oversized-crewneck-sweatshirt-heather-grey","MERGE","Oversized Crewneck Sweatshirt","Active"
"8819115753693","georgia","MERGE","Georgia Dress Black","Active"
"8819115786461","charlie","MERGE","Charlie Top","Active"
"8819115819229","sloane","MERGE","Sloane Dress","Active"
"8819115917533","romee","MERGE","Romee Top","Active"
"8819115950301","amina","MERGE","Amina Top","Active"
