"ID","Handle","Command","Title","Status"
"8940208652519","lounge-pant-sand","MERGE","Lounge Pant","Draft"
"8940208685287","lounge-boxer-short-chocolate","MERGE","Lounge Boxer Short","Draft"
"8940208783591","lounge-boxer-short-oat","MERGE","Lounge Boxer Short","Draft"
"8940208816359","lounge-boxer-short-olive","MERGE","Lounge Boxer Short","Draft"
"8940208881895","lounge-boxer-short-sand","MERGE","Lounge Boxer Short","Draft"
"8940209111271","super-cropped-rib-tank-1","MERGE","Super Cropped Rib Tank","Draft"
"8940209242343","super-cropped-rib-tank-2","MERGE","Super Cropped Rib Tank","Draft"
"8940209340647","super-cropped-rib-tank-3","MERGE","Super Cropped Rib Tank","Draft"
"8940210061543","cropped-rib-tank-oat","MERGE","Cropped Rib Tank","Draft"
"8940210127079","cropped-rib-tank-sand","MERGE","Cropped Rib Tank","Draft"
"8940210225383","amelia-halter-one-piece","MERGE","Amelia Halter One Piece","Archived"
"8940210389223","amelia-halter-one-piece-1","MERGE","Amelia Halter One Piece","Archived"
"8940210454759","amelia-halter-one-piece-2","MERGE","Amelia Halter One Piece","Archived"
"8940210684135","isla-string-bikini-top","MERGE","ISLA BIKINI TOP","Archived"
"8940210749671","isla-string-bikini-top-1","MERGE","ISLA BIKINI TOP","Archived"
"8940210847975","isla-string-bikini-top-2","MERGE","ISLA BIKINI TOP","Archived"
"8940211011815","isla-string-bikini-brief","MERGE","ISLA BIKINI BOTTOM","Archived"
"8940211044583","isla-string-bikini-brief-1","MERGE","ISLA BIKINI BOTTOM","Archived"
"8940211208423","isla-string-bikini-brief-2","MERGE","ISLA BIKINI BOTTOM","Archived"
"8940211339495","jolene-button-down-top","MERGE","Jolene Button Down Top","Archived"
"8940211437799","jolene-button-down-top-1","MERGE","Jolene Button Down Top","Archived"
"8940211536103","jolene-button-down-top-2","MERGE","Jolene Button Down Top","Archived"
"8940211634407","dylan-boxer-short","MERGE","Dylan Boxer Short","Archived"
"8940211765479","dylan-boxer-short-1","MERGE","Dylan Boxer Short","Archived"
"8940211929319","dylan-boxer-short-2","MERGE","Dylan Boxer Short","Archived"
"8940212027623","esme-mini-sarong","MERGE","Esme Mini Sarong","Archived"
"8940212125927","esme-mini-sarong-1","MERGE","Esme Mini Sarong","Archived"
"8940212191463","esme-mini-sarong-2","MERGE","Esme Mini Sarong","Archived"
"8940212224231","bella-tank-one-piece","MERGE","Bella Tank One Piece","Archived"
"8940212388071","bella-tank-one-piece-1","MERGE","Bella Tank One Piece","Archived"
"8940231655655","tank-jumpsuit-1","MERGE","TANK JUMPSUIT","Draft"
